Apr  9 03:00:00 mail01 dovecot[1234]: imap-login: Login aborted: Connection closed (auth failed, 1 attempts in 3 secs) (auth_failed): user=<contact@customer-a.example.test>, method=PLAIN, rip=203.0.113.200, lip=192.0.2.10, TLS, session=<sess-a-0000>
Apr  9 03:11:22 mail01 dovecot[1234]: imap-login: Login aborted: Connection closed (auth failed, 1 attempts in 3 secs) (auth_failed): user=<contact@customer-a.example.test>, method=PLAIN, rip=203.0.113.211, lip=192.0.2.10, TLS, session=<sess-a-0011>
Apr  9 03:12:24 mail01 dovecot[1234]: imap-login: Login aborted: Connection closed (auth failed, 1 attempts in 3 secs) (auth_failed): user=<contact@customer-a.example.test>, method=PLAIN, rip=203.0.113.212, lip=192.0.2.10, TLS, session=<sess-a-0012>
Apr  9 03:13:26 mail01 dovecot[1234]: imap-login: Login aborted: Connection closed (auth failed, 1 attempts in 3 secs) (auth_failed): user=<contact@customer-a.example.test>, method=PLAIN, rip=203.0.113.213, lip=192.0.2.10, TLS, session=<sess-a-0013>
Apr  9 03:14:28 mail01 dovecot[1234]: imap-login: Login aborted: Connection closed (auth failed, 1 attempts in 3 secs) (auth_failed): user=<contact@customer-a.example.test>, method=PLAIN, rip=203.0.113.214, lip=192.0.2.10, TLS, session=<sess-a-0014>
Apr  9 03:15:30 mail01 dovecot[1234]: imap-login: Login aborted: Connection closed (auth failed, 1 attempts in 3 secs) (auth_failed): user=<contact@customer-a.example.test>, method=PLAIN, rip=203.0.113.215, lip=192.0.2.10, TLS, session=<sess-a-0015>
Apr  9 03:16:32 mail01 dovecot[1234]: imap-login: Login aborted: Connection closed (auth failed, 1 attempts in 3 secs) (auth_failed): user=<contact@customer-a.example.test>, method=PLAIN, rip=203.0.113.216, lip=192.0.2.10, TLS, session=<sess-a-0016>
Apr  9 03:17:34 mail01 dovecot[1234]: imap-login: Login aborted: Connection closed (auth failed, 1 attempts in 3 secs) (auth_failed): user=<contact@customer-a.example.test>, method=PLAIN, rip=203.0.113.217, lip=192.0.2.10, TLS, session=<sess-a-0017>
Apr  9 03:18:36 mail01 dovecot[1234]: imap-login: Login aborted: Connection closed (auth failed, 1 attempts in 3 secs) (auth_failed): user=<contact@customer-a.example.test>, method=PLAIN, rip=203.0.113.218, lip=192.0.2.10, TLS, session=<sess-a-0018>
Apr  9 03:19:38 mail01 dovecot[1234]: imap-login: Login aborted: Connection closed (auth failed, 1 attempts in 3 secs) (auth_failed): user=<contact@customer-a.example.test>, method=PLAIN, rip=203.0.113.219, lip=192.0.2.10, TLS, session=<sess-a-0019>
Apr  9 03:20:40 mail01 dovecot[1234]: imap-login: Login aborted: Connection closed (auth failed, 1 attempts in 3 secs) (auth_failed): user=<contact@customer-a.example.test>, method=PLAIN, rip=203.0.113.220, lip=192.0.2.10, TLS, session=<sess-a-0020>
Apr  9 03:21:42 mail01 dovecot[1234]: imap-login: Login aborted: Connection closed (auth failed, 1 attempts in 3 secs) (auth_failed): user=<contact@customer-a.example.test>, method=PLAIN, rip=203.0.113.221, lip=192.0.2.10, TLS, session=<sess-a-0021>
Apr  9 03:22:44 mail01 dovecot[1234]: imap-login: Login aborted: Connection closed (auth failed, 1 attempts in 3 secs) (auth_failed): user=<contact@customer-a.example.test>, method=PLAIN, rip=203.0.113.222, lip=192.0.2.10, TLS, session=<sess-a-0022>
Apr  9 03:23:46 mail01 dovecot[1234]: imap-login: Login aborted: Connection closed (auth failed, 1 attempts in 3 secs) (auth_failed): user=<contact@customer-a.example.test>, method=PLAIN, rip=203.0.113.223, lip=192.0.2.10, TLS, session=<sess-a-0023>
Apr  9 03:24:48 mail01 dovecot[1234]: imap-login: Login aborted: Connection closed (auth failed, 1 attempts in 3 secs) (auth_failed): user=<contact@customer-a.example.test>, method=PLAIN, rip=203.0.113.224, lip=192.0.2.10, TLS, session=<sess-a-0024>
Apr  9 03:25:50 mail01 dovecot[1234]: imap-login: Login aborted: Connection closed (auth failed, 1 attempts in 3 secs) (auth_failed): user=<contact@customer-a.example.test>, method=PLAIN, rip=203.0.113.225, lip=192.0.2.10, TLS, session=<sess-a-0025>
Apr  9 03:26:52 mail01 dovecot[1234]: imap-login: Login aborted: Connection closed (auth failed, 1 attempts in 3 secs) (auth_failed): user=<contact@customer-a.example.test>, method=PLAIN, rip=203.0.113.226, lip=192.0.2.10, TLS, session=<sess-a-0026>
Apr  9 03:27:54 mail01 dovecot[1234]: imap-login: Login aborted: Connection closed (auth failed, 1 attempts in 3 secs) (auth_failed): user=<contact@customer-a.example.test>, method=PLAIN, rip=203.0.113.227, lip=192.0.2.10, TLS, session=<sess-a-0027>
Apr  9 03:28:56 mail01 dovecot[1234]: imap-login: Login aborted: Connection closed (auth failed, 1 attempts in 3 secs) (auth_failed): user=<contact@customer-a.example.test>, method=PLAIN, rip=203.0.113.228, lip=192.0.2.10, TLS, session=<sess-a-0028>
Apr  9 03:29:58 mail01 dovecot[1234]: imap-login: Login aborted: Connection closed (auth failed, 1 attempts in 3 secs) (auth_failed): user=<contact@customer-a.example.test>, method=PLAIN, rip=203.0.113.229, lip=192.0.2.10, TLS, session=<sess-a-0029>
