Apr  8 17:00:00 mail02 dovecot[5678]: imap-login: Login aborted: Connection closed (auth failed, 1 attempts in 2 secs) (auth_failed): user=<test@customer-b.example.test>, method=PLAIN, rip=198.51.100.10, lip=192.0.2.11, TLS, session=<sess-b-0000>
Apr  8 17:11:33 mail02 dovecot[5678]: imap-login: Login aborted: Connection closed (auth failed, 1 attempts in 2 secs) (auth_failed): user=<test@customer-b.example.test>, method=PLAIN, rip=198.51.100.21, lip=192.0.2.11, TLS, session=<sess-b-0011>
Apr  8 17:12:36 mail02 dovecot[5678]: imap-login: Login aborted: Connection closed (auth failed, 1 attempts in 2 secs) (auth_failed): user=<test@customer-b.example.test>, method=PLAIN, rip=198.51.100.22, lip=192.0.2.11, TLS, session=<sess-b-0012>
Apr  8 17:13:39 mail02 dovecot[5678]: imap-login: Login aborted: Connection closed (auth failed, 1 attempts in 2 secs) (auth_failed): user=<test@customer-b.example.test>, method=PLAIN, rip=198.51.100.23, lip=192.0.2.11, TLS, session=<sess-b-0013>
Apr  8 17:14:42 mail02 dovecot[5678]: imap-login: Login aborted: Connection closed (auth failed, 1 attempts in 2 secs) (auth_failed): user=<test@customer-b.example.test>, method=PLAIN, rip=198.51.100.24, lip=192.0.2.11, TLS, session=<sess-b-0014>
Apr  8 17:15:45 mail02 dovecot[5678]: imap-login: Login aborted: Connection closed (auth failed, 1 attempts in 2 secs) (auth_failed): user=<test@customer-b.example.test>, method=PLAIN, rip=198.51.100.25, lip=192.0.2.11, TLS, session=<sess-b-0015>
Apr  8 17:16:48 mail02 dovecot[5678]: imap-login: Login aborted: Connection closed (auth failed, 1 attempts in 2 secs) (auth_failed): user=<test@customer-b.example.test>, method=PLAIN, rip=198.51.100.26, lip=192.0.2.11, TLS, session=<sess-b-0016>
Apr  8 17:17:51 mail02 dovecot[5678]: imap-login: Login aborted: Connection closed (auth failed, 1 attempts in 2 secs) (auth_failed): user=<test@customer-b.example.test>, method=PLAIN, rip=198.51.100.27, lip=192.0.2.11, TLS, session=<sess-b-0017>
Apr  8 17:18:54 mail02 dovecot[5678]: imap-login: Login aborted: Connection closed (auth failed, 1 attempts in 2 secs) (auth_failed): user=<test@customer-b.example.test>, method=PLAIN, rip=198.51.100.28, lip=192.0.2.11, TLS, session=<sess-b-0018>
Apr  8 17:19:57 mail02 dovecot[5678]: imap-login: Login aborted: Connection closed (auth failed, 1 attempts in 2 secs) (auth_failed): user=<test@customer-b.example.test>, method=PLAIN, rip=198.51.100.29, lip=192.0.2.11, TLS, session=<sess-b-0019>
Apr  8 17:20:00 mail02 dovecot[5678]: imap-login: Login aborted: Connection closed (auth failed, 1 attempts in 2 secs) (auth_failed): user=<test@customer-b.example.test>, method=PLAIN, rip=198.51.100.30, lip=192.0.2.11, TLS, session=<sess-b-0020>
Apr  8 17:21:03 mail02 dovecot[5678]: imap-login: Login aborted: Connection closed (auth failed, 1 attempts in 2 secs) (auth_failed): user=<test@customer-b.example.test>, method=PLAIN, rip=198.51.100.31, lip=192.0.2.11, TLS, session=<sess-b-0021>
Apr  8 17:22:06 mail02 dovecot[5678]: imap-login: Login aborted: Connection closed (auth failed, 1 attempts in 2 secs) (auth_failed): user=<test@customer-b.example.test>, method=PLAIN, rip=198.51.100.32, lip=192.0.2.11, TLS, session=<sess-b-0022>
Apr  8 17:23:09 mail02 dovecot[5678]: imap-login: Login aborted: Connection closed (auth failed, 1 attempts in 2 secs) (auth_failed): user=<test@customer-b.example.test>, method=PLAIN, rip=198.51.100.33, lip=192.0.2.11, TLS, session=<sess-b-0023>
Apr  8 17:24:12 mail02 dovecot[5678]: imap-login: Login aborted: Connection closed (auth failed, 1 attempts in 2 secs) (auth_failed): user=<test@customer-b.example.test>, method=PLAIN, rip=198.51.100.34, lip=192.0.2.11, TLS, session=<sess-b-0024>
Apr  8 17:25:15 mail02 dovecot[5678]: imap-login: Login aborted: Connection closed (auth failed, 1 attempts in 2 secs) (auth_failed): user=<test@customer-b.example.test>, method=PLAIN, rip=198.51.100.35, lip=192.0.2.11, TLS, session=<sess-b-0025>
Apr  8 17:26:18 mail02 dovecot[5678]: imap-login: Login aborted: Connection closed (auth failed, 1 attempts in 2 secs) (auth_failed): user=<test@customer-b.example.test>, method=PLAIN, rip=198.51.100.36, lip=192.0.2.11, TLS, session=<sess-b-0026>
Apr  8 17:27:21 mail02 dovecot[5678]: imap-login: Login aborted: Connection closed (auth failed, 1 attempts in 2 secs) (auth_failed): user=<test@customer-b.example.test>, method=PLAIN, rip=198.51.100.37, lip=192.0.2.11, TLS, session=<sess-b-0027>
Apr  8 17:28:24 mail02 dovecot[5678]: imap-login: Login aborted: Connection closed (auth failed, 1 attempts in 2 secs) (auth_failed): user=<test@customer-b.example.test>, method=PLAIN, rip=198.51.100.38, lip=192.0.2.11, TLS, session=<sess-b-0028>
Apr  8 17:29:27 mail02 dovecot[5678]: imap-login: Login aborted: Connection closed (auth failed, 1 attempts in 2 secs) (auth_failed): user=<test@customer-b.example.test>, method=PLAIN, rip=198.51.100.39, lip=192.0.2.11, TLS, session=<sess-b-0029>
